OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu1	804	954	670	803	2610	1368	3204	2398
otu2	517	613	540	561	1987	960	2025	1502
otu3	139	234	124	103	1101	322	1203	685
otu4	363	378	359	500	417	392	497	597
otu5	310	42	77	4475	92	42	46	0
otu6	76	159	81	68	795	207	694	417
otu7	272	236	255	336	322	223	343	358
otu8	360	323	331	297	245	168	123	151
otu9	468	411	442	451	225	90	110	95
otu10	444	325	389	474	102	91	102	82
otu11	533	403	633	367	44	0	0	26
otu12	375	253	321	204	171	162	153	153
otu13	150	158	167	73	464	1088	460	975
otu14	206	0	77	3354	64	0	0	33
otu15	534	403	693	166	59	103	58	74
otu16	450	438	728	244	52	0	35	41
otu17	399	271	443	350	71	39	47	36
otu18	126	191	215	130	323	229	359	311
otu19	354	140	193	79	91	242	415	292
otu20	339	248	458	276	0	25	24	0
otu21	240	165	294	209	154	103	86	104
otu22	329	239	285	304	146	58	75	52
otu23	240	162	259	422	58	51	58	55
otu24	94	122	98	75	384	355	307	423
otu25	149	182	102	138	172	156	167	160
otu26	247	419	242	156	283	109	206	212
otu27	266	169	312	135	59	57	66	61
otu28	193	134	217	357	88	56	77	88
otu29	146	200	209	248	251	135	166	169
otu30	238	199	239	201	155	145	104	144
otu31	316	318	255	377	43	94	66	108
otu32	184	137	155	117	234	292	252	245
otu33	213	133	282	273	147	56	88	98
otu34	184	181	222	189	140	93	96	101
otu35	212	119	222	298	74	66	62	0
otu36	354	279	565	219	0	45	0	0
otu37	270	211	287	204	128	65	72	93
otu38	329	261	562	133	49	62	0	48
otu39	285	217	332	263	0	37	0	40
otu40	81	79	145	0	293	575	275	553
otu41	146	120	107	125	149	263	239	245
otu42	217	131	120	90	0	249	368	201
otu43	327	244	152	124	101	51	77	94
otu44	165	154	166	206	144	86	77	68
otu45	256	220	176	191	127	35	50	64
otu46	115	113	148	102	241	140	228	197
otu47	125	114	153	108	473	159	220	193
otu48	103	116	105	104	112	105	127	122
otu49	165	202	139	148	150	87	75	96
otu50	34	89	52	71	294	229	191	231
otu51	247	210	174	97	70	125	85	102
otu52	157	131	165	178	82	98	107	0
otu53	123	125	180	98	153	147	141	191
otu54	161	184	207	237	63	94	61	55
otu55	218	203	222	114	129	79	51	93
otu56	271	183	238	180	53	62	45	50
otu57	91	74	91	62	386	162	177	174
otu58	136	119	138	136	137	101	87	107
otu59	227	193	206	303	83	68	49	43
otu60	98	162	110	173	179	102	96	134
otu61	118	99	53	62	105	288	223	216
otu62	205	128	237	116	0	0	0	0
otu63	190	197	318	189	81	43	43	72
otu64	126	72	198	195	120	42	51	0
otu65	100	82	128	269	66	40	48	0
otu66	143	191	97	136	0	0	115	0
otu67	103	95	125	80	165	161	140	154
otu68	192	158	200	147	78	52	39	51
otu69	121	105	180	259	69	0	0	20
otu70	90	122	86	66	151	180	204	237
otu71	187	179	211	256	42	0	0	0
otu72	160	136	215	117	92	87	139	83
otu73	48	71	75	41	350	295	411	386
otu74	111	111	113	108	146	63	124	65
otu75	127	112	210	129	0	0	0	0
otu76	167	171	167	102	80	60	43	58
otu77	64	80	43	0	182	259	186	293
otu78	134	88	98	148	92	53	42	51
otu79	119	119	113	107	145	85	78	116
otu80	98	55	107	42	160	118	164	82
otu81	169	139	294	133	32	0	0	21
otu82	173	124	129	122	157	75	0	111
otu83	91	84	86	79	101	152	152	153
otu84	166	111	200	180	57	29	41	30
otu85	58	63	95	79	220	144	189	177
otu86	107	106	84	63	68	150	176	122
otu87	167	122	116	136	0	34	30	0
otu88	187	98	138	135	43	54	70	63
otu89	31	46	19	44	30	460	320	362
otu90	107	83	94	75	56	124	122	94
otu91	168	147	128	103	70	75	0	61
otu92	86	88	92	97	177	72	70	66
otu93	125	138	197	108	121	58	56	58
otu94	120	104	110	154	48	42	35	34
otu95	0	69	0	0	349	99	151	129
otu96	112	203	110	88	85	0	108	82
otu97	132	150	188	108	98	79	47	83
otu98	192	157	165	131	79	81	71	73
otu99	111	97	122	105	103	50	51	59
otu100	50	62	58	77	296	127	302	102
otu101	167	0	148	106	0	117	0	0
otu102	80	76	116	95	29	110	117	100
otu103	119	121	153	71	91	49	47	0
otu104	160	118	87	102	49	73	70	69
otu105	67	67	155	73	114	87	101	103
otu106	142	138	140	107	99	107	0	78
otu107	74	82	82	47	88	166	146	69
otu108	142	104	219	118	39	36	0	0
otu109	170	100	236	125	0	41	30	38
otu110	90	55	129	203	42	33	42	0
otu111	77	108	88	0	129	128	192	154
otu112	148	116	125	119	46	49	38	41
otu113	99	121	98	109	210	123	88	95
otu114	65	1855	0	123	128	0	0	0
otu115	101	54	114	168	0	0	0	0
otu116	122	80	62	140	0	139	0	0
otu117	139	50	196	70	51	55	90	56
otu118	64	91	55	46	0	228	189	158
otu119	114	96	102	153	49	0	47	28
otu120	28	0	0	36	253	226	229	292
otu121	85	85	118	105	73	79	63	55
otu122	124	52	84	60	64	80	95	77
otu123	105	101	110	129	66	0	107	82
otu124	151	111	170	124	0	0	0	0
otu125	132	118	146	154	39	0	47	37
otu126	96	65	98	113	50	78	70	80
otu127	95	82	118	93	52	77	84	77
otu128	134	138	113	145	0	0	50	0
otu129	97	79	90	87	55	57	58	84
otu130	112	112	136	189	0	0	0	0
otu131	33	61	34	54	214	105	69	113
otu132	59	73	0	0	172	109	92	103
otu133	121	113	146	113	0	71	49	44
otu134	137	135	122	71	55	0	63	0
otu135	120	142	89	75	35	53	33	48
otu136	63	66	50	71	103	98	132	140
otu137	125	95	80	131	56	51	78	44
otu138	168	67	113	0	42	205	91	286
otu139	104	76	114	124	0	0	53	94
otu140	60	49	86	179	86	46	85	28
otu141	45	63	38	47	79	182	306	206
otu142	83	49	0	67	149	49	78	64
otu143	113	123	61	74	0	22	68	78
otu144	92	90	98	74	100	124	106	66
otu145	94	71	93	85	66	46	0	20
otu146	90	136	78	95	117	95	68	99
otu147	96	57	105	221	0	0	0	0
otu148	0	52	0	0	255	109	112	108
otu149	139	110	207	116	0	0	16	0
otu150	123	85	125	126	0	26	0	0
otu151	44	64	39	41	145	94	115	142
otu152	87	91	132	68	137	77	32	68
otu153	113	97	117	96	27	36	39	55
otu154	104	117	139	92	61	31	0	59
otu155	121	107	135	78	79	43	0	43
otu156	105	84	83	111	0	54	50	0
otu157	51	61	79	74	65	55	48	61
otu158	89	67	71	110	48	56	47	66
otu159	57	57	62	53	122	0	126	75
otu160	111	155	96	0	0	89	94	0
