OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus
otu1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
otu2	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
otu3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
otu4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
otu5	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA
otu6	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
otu7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
otu8	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
otu9	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu10	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu11	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu12	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu13	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu14	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA
otu15	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu16	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu17	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu18	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
otu20	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu21	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
otu22	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu23	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
otu25	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
otu26	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu27	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus
otu28	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu29	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
otu30	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
otu31	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu32	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu33	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu34	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu35	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu36	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu37	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu38	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu39	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu40	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu41	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA
otu42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
otu43	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
otu44	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu45	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
otu46	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu47	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
otu48	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
otu49	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
otu51	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu52	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
otu53	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA
otu54	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu55	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
otu56	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu57	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora
otu58	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu59	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu60	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
otu61	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
otu62	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus
otu63	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
otu64	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu65	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu66	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu67	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu68	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu69	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu70	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
otu71	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
otu73	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera
otu74	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu75	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
otu76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
otu77	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella
otu78	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu79	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
otu80	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
otu81	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu82	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
otu83	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA
otu84	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu85	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
otu86	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu87	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
otu88	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA
otu90	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia
otu91	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu92	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu93	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA
otu94	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu95	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
otu96	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
otu98	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu99	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
otu100	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum
otu101	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu102	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
otu103	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
otu104	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA
otu105	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA
otu106	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu107	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
otu109	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu110	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu111	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
otu112	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu113	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA
otu114	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella
otu115	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
otu116	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu117	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu118	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
otu119	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu120	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera
otu121	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu122	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
otu123	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu124	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu125	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu126	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
otu127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
otu128	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu129	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu130	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu131	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu132	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
otu134	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu135	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
otu136	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
otu137	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
otu138	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
otu139	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
otu140	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu141	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA
otu142	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu143	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
otu144	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
otu145	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
otu146	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
otu147	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
otu148	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora
otu149	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
